strain,date,url,mutational_fitness,S1_mutations,country,recency,pango_lineage,emerging_lineage,region,clade_membership,genbank_accession,current_frequency,division,epiweek,host,author,accession,submitting_lab,originating_lab,logistic_growth
PER/covper073/2020,3/18/20,,0.02,1,Peru,Older,B.1,,South America,20A,MW030213,,Peru,202012,Homo sapiens,Juscamayta et al T,,,,
CHL/Santiago-PUC_MVL_0026/2020,3/26/20,,0.03,1,Chile,Older,B.1,,South America,20A,MW365191,,Chile,202013,Homo sapiens,Direct Submission et al C,,,,
USA/NMDOH-2020420118/2020,10/16/20,,0.03,1,USA,Older,B.1,,North America,20A,MW883232,,New Mexico,202042,Homo sapiens,Johnson et al A,,New Mexico Department of Health Scientific Laboratory,New Mexico Department of Health Scientific Laboratory,
EGY/CPHL-NRC-17/2020,3/26/20,,0.02,1,Egypt,Older,B.1.535,,Africa,20A,MW451241,,Egypt,202013,Homo sapiens,Roshdy et al A,,,,
EGY/CPHL-NRC-18/2020,3/26/20,,0.02,1,Egypt,Older,B.1,,Africa,20A,MW451240,,Egypt,202013,Homo sapiens,Roshdy et al B,,,,
MEX/ROO-427/2020,3/26/20,,0.03,1,Mexico,Older,B.1.415,,North America,20A,OK436290,,Mexico,202013,Homo sapiens,Taboada et al A,,,,
MEX/BCN-489/2020,5/4/20,,0.04,1,Mexico,Older,B.1,,North America,20A,OK435217,,Mexico,202019,Homo sapiens,Taboada et al B,,,,
CHL/Puerto_Montt-PUC_MVL_0362/2020,5/12/20,,0.05,1,Chile,Older,B.1,,South America,20A,MW365051,,Chile,202020,Homo sapiens,Direct Submission et al D,,,,
CHL/Santiago-PUC_MVL_0236/2020,4/28/20,,0.05,1,Chile,Older,B.1,,South America,20A,MW365108,,Chile,202018,Homo sapiens,Direct Submission et al E,,,,
CHL/Santiago-PUC_MVL_0270/2020,5/1/20,,0.05,1,Chile,Older,B.1,,South America,20A,MW365094,,Chile,202018,Homo sapiens,Direct Submission et al F,,,,
USA/TX-QDX-3345/2020,10/3/20,,0.05,1,USA,Older,B.1.609,,North America,20A,MW522502,,Texas,202040,Homo sapiens,Rosenthal et al K,,,,
ARG/Cordoba-441-200/2020,6/5/20,,0.06,1,Argentina,Older,B.1,,South America,20A,MW553309,,Argentina,202023,Homo sapiens,Direct Submission et al G,,,,
ARG/Cordoba-189-251/2020,5/17/20,,0.06,1,Argentina,Older,B.1,,South America,20A,MW553299,,Argentina,202020,Homo sapiens,Direct Submission et al H,,,,
ARG/Cordoba-12712-61/2020,6/5/20,,0.06,1,Argentina,Older,B.1,,South America,20A,MW553313,,Argentina,202023,Homo sapiens,Direct Submission et al I,,,,
ARG/Cordoba-12873-61/2020,6/5/20,,0.09,1,Argentina,Older,B.1,,South America,20A,MW553305,,Argentina,202023,Homo sapiens,Direct Submission et al J,,,,
ARG/Cordoba-1083-6/2020,6/5/20,,0.06,1,Argentina,Older,B.1,,South America,20A,MW553296,,Argentina,202023,Homo sapiens,Direct Submission et al K,,,,
ARG/Cordoba-3734-24/2020,6/5/20,,0.06,1,Argentina,Older,B.1,,South America,20A,MW553302,,Argentina,202023,Homo sapiens,Direct Submission et al L,,,,
ARG/Cordoba-2842-202/2020,6/5/20,,0.06,1,Argentina,Older,B.1,,South America,20A,MW553295,,Argentina,202023,Homo sapiens,Direct Submission et al M,,,,
ARG/Cordoba-2859-202/2020,6/5/20,,0.06,1,Argentina,Older,B.1,,South America,20A,MW553303,,Argentina,202023,Homo sapiens,Direct Submission et al N,,,,
ARG/Cordoba-3696-24/2020,6/5/20,,0.06,1,Argentina,Older,B.1,,South America,20A,MW553311,,Argentina,202023,Homo sapiens,Direct Submission et al O,,,,
ARG/Cordoba-11859-61/2020,6/5/20,,0.06,1,Argentina,Older,B.1,,South America,20A,MW553307,,Argentina,202023,Homo sapiens,Direct Submission et al P,,,,
ARG/Cordoba-11419-61/2020,6/5/20,,0.06,1,Argentina,Older,B.1,,South America,20A,MW553297,,Argentina,202023,Homo sapiens,Direct Submission et al Q,,,,
ARG/Cordoba-11860-61/2020,6/5/20,,0.06,1,Argentina,Older,B.1,,South America,20A,MW553304,,Argentina,202023,Homo sapiens,Direct Submission et al R,,,,
ARG/Cordoba-160-148/2020,6/5/20,,0.06,1,Argentina,Older,B.1,,South America,20A,MW553310,,Argentina,202023,Homo sapiens,Direct Submission et al S,,,,
ARG/Cordoba-16232-61/2020,6/5/20,,0.06,1,Argentina,Older,B.1,,South America,20A,MW553300,,Argentina,202023,Homo sapiens,Direct Submission et al T,,,,
ARG/Cordoba-11499-61/2020,6/5/20,,0.05,1,Argentina,Older,B.1,,South America,20A,MW553316,,Argentina,202023,Homo sapiens,Direct Submission et al U,,,,
ARG/Cordoba-16231-61/2020,6/5/20,,0.06,1,Argentina,Older,B.1,,South America,20A,MW553306,,Argentina,202023,Homo sapiens,Direct Submission et al V,,,,
ARG/Cordoba-1006-155/2020,6/5/20,,0.06,1,Argentina,Older,B.1,,South America,20A,MW553298,,Argentina,202023,Homo sapiens,Direct Submission et al W,,,,
ARG/Cordoba-323-200/2020,6/5/20,,0.06,1,Argentina,Older,B.1,,South America,20A,MW553308,,Argentina,202023,Homo sapiens,Direct Submission et al X,,,,
ARG/Cordoba-969-155/2020,6/5/20,,0.06,1,Argentina,Older,B.1,,South America,20A,MW553319,,Argentina,202023,Homo sapiens,Direct Submission et al Y,,,,
Netherlands/NA_529/2020,4/9/20,,0.03,1,Netherlands,Older,B.1.190,,Europe,20A,LR883646,,Netherlands,202015,Homo sapiens,Oude Munnink et al A,,"ERASMUS MC, UNIVERISTY MEDICAL CENTER",,
PER/covper003/2020,7/2/20,,0.02,1,Peru,Older,B.1,,South America,20A,MW030234,,Peru,202027,Homo sapiens,Juscamayta et al U,,,,
PER/covper082/2020,3/19/20,,0.03,1,Peru,Older,B.1,,South America,20A,MW030218,,Peru,202012,Homo sapiens,Juscamayta et al V,,,,
LBN/LB-R8/2020,3/20/20,,0.03,1,Lebanon,Older,B.1,,Asia,20A,MT801000,,Lebanon,202012,Homo sapiens,Abdallah et al,,,,
USA/UT-UPHL-201016621/2020,6/23/20,,0.04,1,USA,Older,B.1.554,,North America,20A,MW172757,,Utah,202026,Homo sapiens,Young et al B,,Utah Public Health Laboratory Infectious Disease submission group,Utah Public Health Laboratory,
FRA/IHUCOVID-001382/2020,8/9/20,,0.04,1,France,One month ago,B.1.416,,Europe,20A,ON302965,,France,202032,Homo sapiens,Levasseur et al B,,,,
HongKong/HKPU-00031/2020,3/21/20,,0.03,1,Hong Kong,Older,B.1,,Asia,20A,MZ266380,,Hong Kong,202012,Homo sapiens,Siu et al B,,,,
USA/NV-QDX-217/2020,4/10/20,,0.03,1,USA,Older,B.1,,North America,20A,MT806797,,Nevada,202015,Homo sapiens,Rosenthal et al L,,,,
PRY/WOR12903A653_202103301_2-4710614/2020,8/20/20,,0.04,2,Paraguay,Older,B.1.600,,South America,20A,ON017191,,Paraguay,202034,Homo sapiens,Vazquez et al H,,,,
CHL/Santiago-PUC_MVL_0295/2020,5/5/20,,0.03,1,Chile,Older,B.1,,South America,20A,MW365057,,Chile,202019,Homo sapiens,Direct Submission et al Z,,,,
MAR/Morocco_HMIMV_279CC/2020,7/2/20,,0,2,Morocco,Older,B.1,,Africa,20A,MW582699,,Morocco,202027,Homo sapiens,Touil et al,,,,
OU078948,2/21/21,,0.08,2,Germany,Older,B.1,,Europe,20A,OU078948,,North Rhine Westphalia,202107,Homo sapiens,? B,,Robert Koch Institute,"LabKom - MVZ Labor Bochum MLB GmbH, 44799 Bochum",
Denmark/DCGC-113184/2020,12/15/20,,0.08,2,Denmark,Older,B.1,,Europe,20A,OV905090,,Denmark,202051,Homo sapiens,Danish Covid-19 Genome et al,,statens serum institut and the danish covid19 genome consortium (dcgc),"Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark",
Liechtenstein/UHB-4168696501/2020,11/17/20,,0.13,4,Liechtenstein,Older,B.1.258.17,,Europe,20A,OU282399,,Mauren,202047,Homo sapiens,? F,,University Hospital Basel,"Labormedizinisches Zentrum Dr Risch, Liebefeld, Switzerland",
OU077073,10/13/20,,0.09,3,Germany,Older,B.1.258,,Europe,20A,OU077073,,North Rhine Westphalia,202042,Homo sapiens,? B,,Robert Koch Institute,"Labor ZOTZ|KLIMAS; MVZ Düsseldorf-Centrum, Immermannstr. 65a; 40210 Düsseldorf",
Estonia/Cov8673/2021,2/13/21,,0.03,1,Estonia,Older,B.1.258,,Europe,20A,OU278775,,Estonia,202106,Homo sapiens,Avi et al B,,"Institute of Biomedicine and Translational Medicine, University of Tartu",,
OU632753,11/28/20,,0.09,3,Poland,Older,B.1.258,,Europe,20A,OU632753,,Mazowieckie,202048,Homo sapiens,? E,,COVID-HUB-PL,"Narodowy Instytut Geriatrii, Reumatologii i Rehabilitacji, Warszawa",
CZE/JCUCB118-181/2020,11/24/20,,0.08,4,Czech Republic,Older,B.1.258,,Europe,20A,OK180974,,Czech Republic,202048,Homo sapiens,Maskova et al,,,,
Denmark/DCGC-207628/2020,11/13/20,,0.08,3,Denmark,Older,B.1.258.11,,Europe,20A,OV844274,,Syddanmark,202046,Homo sapiens,Danish Covid-19 Genome et al,,statens serum institut and the danish covid19 genome consortium (dcgc),"Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark",
Liechtenstein/UHB-0697576100/2020,10/26/20,,0.08,3,Liechtenstein,Older,B.1.258,,Europe,20A,OU281961,,Triesen,202044,Homo sapiens,? G,,University Hospital Basel,"Labormedizinisches Zentrum Dr Risch, Liebefeld, Switzerland",
Liechtenstein/UHB-715936300/2020,12/20/20,,0.12,3,Liechtenstein,Older,B.1.258,,Europe,20A,OU281971,,Eschen,202051,Homo sapiens,? H,,University Hospital Basel,"Labormedizinisches Zentrum Dr Risch, Liebefeld, Switzerland",
Estonia/Cov0234/2020,9/16/20,,0.09,3,Estonia,Older,B.1.258,,Europe,20A,OU277673,,Estonia,202038,Homo sapiens,Avi et al C,,"Institute of Biomedicine and Translational Medicine, University of Tartu",,
EGY/CUNCI-HGC11I026/2021,1/4/21,,0.05,3,Egypt,Older,B.1.398,,Africa,20A,MW509802,,Egypt,202101,Homo sapiens,Zekri et al D,,,,
MEX/286/2020,4/27/20,,0.03,1,Mexico,Older,B.1.609,,North America,20A,MZ643433,,Mexico,202018,Homo sapiens,Araiza-Rodriguez et al,,,,
CHL/Coquimbo-PUC_MVL_0194/2020,4/26/20,,0.02,1,Chile,Older,B.1,,South America,20A,MW365134,,Chile,202017,Homo sapiens,Direct Submission et al AA,,,,
CHL/Santiago-PUC_MVL_0218/2020,4/27/20,,0.02,1,Chile,Older,B.1,,South America,20A,MW365107,,Chile,202018,Homo sapiens,Direct Submission et al AB,,,,
KEN/C4199/2020,5/7/20,,0.03,1,Kenya,Older,B.1,,Africa,20A,MW751108,,Kenya,202019,Homo sapiens,Githinji et al L,,,,
LR884008,4/10/20,,0.03,1,Spain,Older,B.1,,Europe,20A,LR884008,,Spain,202015,Homo sapiens,Viedma et al B,,HOSPITAL UNIVERSITARY 12 DE OCTUBRE,Hospital Universitario12 de Octubre,
USA/AK-PHL383/2020,6/1/20,,0.03,1,USA,Older,B.1.181,,North America,20A,MW079838,,Alaska,202023,Homo sapiens,DeRonde et al A,,,,
USA/AK-PHL463/2020,6/12/20,,0.08,2,USA,Older,B.1.181,,North America,20A,MW079833,,Alaska,202024,Homo sapiens,DeRonde et al B,,,,
USA/AK-PHL760/2020,7/2/20,,0.07,3,USA,Older,B.1.181,,North America,20A,MW173167,,Alaska,202027,Homo sapiens,DeRonde et al C,,,,
AUS/NT19/2020,3/26/20,,0.03,1,Australia,Older,B.1,,Oceania,20A,MT641663,,Northern Territory,202013,Homo sapiens,Caly et al Q,,The Peter Doherty Institute for Infection and Immunity,Royal Darwin Hospital Pathology,
MEX/GUA-428/2020,3/27/20,,0.03,1,Mexico,Older,B.1,,North America,20A,OK435780,,Mexico,202013,Homo sapiens,Taboada et al C,,,,
KEN/C5418/2020,5/9/20,,0.01,1,Kenya,Older,B.1,,Africa,20A,MW751258,,Kenya,202019,Homo sapiens,Githinji et al M,,,,
CHL/Los_Andes-PUC_MVL_0156/2020,4/6/20,,0.03,1,Chile,Older,B.1,,South America,20A,MW364989,,Chile,202015,Homo sapiens,Direct Submission et al AC,,,,
NZL/20CV0318/2020,4/2/20,,0.03,1,New Zealand,Older,B.1,,Oceania,20A,OK426769,,Hawkes Bay,202014,Homo sapiens,Ren et al W,,Institute of Environmental Science and Research,Canterbury Health Laboratories,
CHL/Santiago-HMP7679/2020,4/23/20,,0.03,1,Chile,Older,B.1,,South America,20A,MW365247,,Chile,202017,Homo sapiens,Direct Submission et al AD,,,,
CHL/Santiago-TMM2937/2020,4/24/20,,0.03,1,Chile,Older,B.1,,South America,20A,MW365253,,Chile,202017,Homo sapiens,Direct Submission et al AE,,,,
KEN/C942/2020,4/18/20,,0.03,1,Kenya,Older,B.1,,Africa,20A,MW751216,,Kenya,202016,Homo sapiens,Githinji et al N,,,,
CHL/Temuco-PUC_MVL_0242/2020,4/29/20,,0.03,1,Chile,Older,B.1,,South America,20A,MW365486,,Chile,202018,Homo sapiens,Direct Submission et al AF,,,,
CHL/Santiago-PUC_MVL_0221/2020,4/28/20,,0.03,1,Chile,Older,B.1,,South America,20A,MW365485,,Chile,202018,Homo sapiens,Direct Submission et al AG,,,,
PER/covper025/2020,5/5/20,,0.03,1,Peru,Older,B.1,,South America,20A,MW030256,,Peru,202019,Homo sapiens,Juscamayta et al W,,,,
KEN/C6193/2020,5/11/20,,0.03,1,Kenya,Older,B.1,,Africa,20A,MW751259,,Kenya,202020,Homo sapiens,Githinji et al O,,,,
CHL/Santiago-5132613/2020,6/9/20,,0.03,1,Chile,Older,B.1,,South America,20A,MW672617,,Chile,202024,Homo sapiens,Barriga et al A,,,,
Dog/ESP/EPI/2020,9/27/20,,0.05,4,Spain,Older,B.1,,Europe,20A,MZ902042,,Spain,202039,Canis lupus familiaris,Barroso-Arevalo et al A,,,,
CHL/Santiago-5132607/2020,6/9/20,,0.06,1,Chile,Older,B.1,,South America,20A,MW672175,,Chile,202024,Homo sapiens,Barriga et al B,,,,
BLR/Sars-Cov-2isolate724GomelBelarus/2021,2/27/21,,0.04,2,Belarus,Older,B.1,,Europe,20A,MW674675,,Belarus,202108,Homo sapiens,Stoma et al,,,,
VEN/LaG1414/2021,3/1/21,,0.21,3,Venezuela,Older,B.1,,South America,20A,MZ611973,,Venezuela,202109,Homo sapiens,Pujol et al A,,,,
SouthAfrica/NHLS-UCT-GP-5388/2020,5/6/20,,0.04,1,South Africa,Older,B.1,,Africa,20A,OM720829,,South Africa,202019,Homo sapiens,Tegally et al C,,,,
SouthAfrica/NHLS-UCT-GP-5023/2020,4/16/20,,0.04,1,South Africa,Older,B.1.381,,Africa,20A,OM720801,,South Africa,202016,Homo sapiens,Tegally et al D,,,,
SouthAfrica/NHLS-UCT-GS-1313/2020,11/3/20,,0.03,3,South Africa,Older,B.1.381,,Africa,20A,OM725557,,South Africa,202045,Homo sapiens,Tegally et al E,,,,
SouthAfrica/NHLS-UCT-GS-4879/2020,5/28/20,,0.04,1,South Africa,One month ago,B.1.381,,Africa,20A,ON322653,,South Africa,202022,Homo sapiens,Viana et al A,,University of Cape Town and National Health Laboratory Service,Mitchells Plain Hospital wc MPH,
SouthAfrica/NHLS-UCT-GS-3285/2020,6/27/20,,0.05,1,South Africa,One month ago,B.1.381,,Africa,20A,ON287297,,South Africa,202026,Homo sapiens,Tegally et al F,,University of Cape Town and National Health Laboratory Service,Red Cross Children's Hospital wc RXH,
SouthAfrica/NHLS-UCT-GS-1925/2020,8/27/20,,0.04,1,South Africa,Older,B.1.381,,Africa,20A,OM739036,,South Africa,202035,Homo sapiens,Viana et al B,,,,
Mexico/BCN-SEARCH-103018/2020,6/9/20,,0.04,1,Mexico,Older,B.1.243,,North America,20A,OK549344,,Baja California,202024,Homo sapiens,Andersen et al A,,SEARCH Alliance San Diego,"SEARCH Alliance San Diego with Gisela Barrera Badillo, Jose Ernesto Ramirez Gonzalez, Maria Natividad Cruz Ortiz, Nervain Benjamin Contreras Gonzalez, Tatiana Ernestina Nunez Garcia, Dayanira Sarith Arellano Suarez, Irma Lopez Martinez, Rita Flores Leon, Beatriz Olivares Flores with the help of Instituto de Diagnostico y Referencia Epidemiologicos (InDRE)",
USA/Oklahoma-ADDL-1/2020,4/11/20,,0.04,1,USA,Older,B.1.243,,North America,20A,MT998442,,Oklahoma,202015,Homo sapiens,Narayanan et al,,,,
Mexico/SEARCH-102594/2020,4/14/20,,0.04,1,Mexico,Older,B.1.243,,North America,20A,OK548956,,Baja California,202016,Homo sapiens,Andersen et al B,,SEARCH Alliance San Diego,"SEARCH Alliance San Diego with Gisela Barrera Badillo, Jose Ernesto Ramirez Gonzalez, Maria Natividad Cruz Ortiz, Nervain Benjamin Contreras Gonzalez, Tatiana Ernestina Nunez Garcia, Dayanira Sarith Arellano Suarez, Irma Lopez Martinez, Rita Flores Leon, Beatriz Olivares Flores with the help of Instituto de Diagnostico y Referencia Epidemiologicos (InDRE)",
USA/TG498783/2020,7/15/20,,0.04,1,USA,Older,B.1.243,,North America,20A,MZ906996,,Arizona,202029,Homo sapiens,Bowers et al A,,The Translational Genomics Research Institute COVID submission group,Salt River Integrated Healthcare,
USA/CA-CZB-6802/2020,7/15/20,,0.04,1,USA,Older,B.1.243,,North America,20A,MW276182,,California,202029,Homo sapiens,Bhatt et al A,,Chan Zuckerberg Biohub,County of Santa Clara Public Health Department,
USA/WA-S2813/2020,9/3/20,,0.05,2,USA,Older,B.1.243,,North America,20A,MW077502,,Washington,202036,Homo sapiens,Nickerson et al C,,Seattle Flu Study submission group,Seattle Flu Study,
USA/MP-CDC-2-3831125/2020,8/9/20,,0.06,2,USA,Older,B.1.243,,North America,20A,MZ779342,,Northern Mariana Islands,202032,Homo sapiens,Sheth et al A,,,,
USA/PA-CDC-2-3693664/2020,11/6/20,,0.06,2,USA,Older,B.1.243,,North America,20A,MW406502,,Pennsylvania,202045,Homo sapiens,Queen et al C,,,,
USA/NYI-1051-20-7/2020,11/11/20,,0.06,2,USA,Older,B.1.243,,North America,20A,MZ448925,,New York,202046,Homo sapiens,Mitchell et al A,,,,
LR884144,5/22/20,,0.14,2,Spain,Older,B.1,,Europe,20A,LR884144,,Spain,202021,Homo sapiens,Viedma et al C,,HOSPITAL UNIVERSITARY 12 DE OCTUBRE,Hospital Universitario Ramon y Cajal,
USA/TX-CDC-FG-037249/2021,6/2/21,,0.55,6,USA,Older,XB,,North America,20A,OK213330,,Texas,202122,Homo sapiens,Howard et al A,,,,
Mexico/CHH-SEARCH-105353/2021,6/29/21,,0.55,6,Mexico,Older,XB,,North America,20A,OK550261,,Chihuahua,202126,Homo sapiens,Andersen et al C,,SEARCH Alliance San Diego,"SEARCH Alliance San Diego with Abraham Campos Romero, Miguel A. Fernandez Rojas, Marco Antonio Luna Ruiz-Esparza, Jose Luis Moreno Camacho, Abraham Garcia Gil with the help of Salud Digna, A.C",
NZL/20VR3755/2020,6/22/20,,0.04,1,New Zealand,Older,B.1.239,,Oceania,20A,OK427003,,Auckland,202026,Homo sapiens,Ren et al X,,Institute of Environmental Science and Research,Middlemore Hospital,
NZL/20VR3759/2020,6/29/20,,0.04,1,New Zealand,Older,B.1.239,,Oceania,20A,OK427066,,Auckland,202027,Homo sapiens,Ren et al Y,,Institute of Environmental Science and Research,Middlemore Hospital,
USA/NMDOH-2020318505/2020,8/30/20,,0.03,1,USA,Older,B.1,,North America,20A,MW420904,,New Mexico,202035,Homo sapiens,Johnson et al B,,New Mexico Department of Health Scientific Laboratory,New Mexico Department of Health Scientific Laboratory,
USA/HI-CDC-2-4068737/2020,12/8/20,,0.07,2,USA,Older,B.1.400,,North America,20A,MW709180,,Hawaii,202050,Homo sapiens,Queen et al D,,,,
USA/UT-UPHL-201114272/2020,10/8/20,,0.06,2,USA,Older,B.1.400,,North America,20A,MW241378,,Utah,202041,Homo sapiens,Young et al C,,Utah Public Health Laboratory Infectious Disease submission group,Utah Public Health Laboratory,
USA/hCov_19_USA_ID_IVREF_668210_2020/2020,10/14/20,,0.04,2,USA,Older,B.1.400,,North America,20A,OL676128,,Idaho,202042,Homo sapiens,Beukelman et al A,,,,
SouthAfrica/NHLS-UCT-GS-1279/2020,7/31/20,,0.04,1,South Africa,Older,B.1,,Africa,20A,OM725548,,South Africa,202031,Homo sapiens,Tegally et al G,,,,
SouthAfrica/NHLS-UCT-GS-1453/2020,8/12/20,,0.06,2,South Africa,Older,B.1,,Africa,20A,OM725614,,South Africa,202033,Homo sapiens,Tegally et al H,,,,
SouthAfrica/NHLS-UCT-GS-2033/2020,9/19/20,,0.03,2,South Africa,Older,B.1.237,,Africa,20A,OM739050,,South Africa,202038,Homo sapiens,Viana et al C,,,,
OU079558,7/17/20,,0.04,1,Germany,Older,B.1.236,,Europe,20A,OU079558,,Schleswig-Holstein,202029,Homo sapiens,? B,,Robert Koch Institute,"Universitätsklinikum Schleswig-Holstein (standortübergreifend inkl. Kiel) - Institut für Klinische Chemie und Laboratoriumsdiagnostik, Ratzeburger Allee 160; 23538 Lübeck und Kiel (standortübergreifend)",
Switzerland/SH-ETHZ-461323/2021,1/22/21,,0.03,1,Switzerland,Older,B.1,,Europe,20A,OE998790,,Schaffhausen,202103,Homo sapiens,? I,,ETH ZURICH D-BSSE,"Computational evolution group,Mattenstrasse 26, Basel",
SouthAfrica/NHLS-UCT-GS-4512/2020,6/10/20,,0.09,1,South Africa,One month ago,B.1,,Africa,20A,ON287291,,South Africa,202024,Homo sapiens,Tegally et al I,,University of Cape Town and National Health Laboratory Service,Red Cross Children's Hospital wc RXH,
USA/NYI-NA-20-122/2020,9/1/20,,0.04,1,USA,Older,B.1,,North America,20A,MZ448770,,New York,202036,Homo sapiens,Mitchell et al B,,,,
USA/DE-CDC-2-3713963/2020,11/19/20,,0.03,1,USA,Older,B.1,,North America,20A,MW495891,,Delaware,202047,Homo sapiens,Queen et al E,,,,
USA/WA-S5391/2020,10/31/20,,0.04,1,USA,Older,B.1.234,,North America,20A,MW773972,,Washington,202044,Homo sapiens,Nickerson et al D,,Seattle Flu Study submission group,WA State PHL,
USA/UT-CDC-2-4084846/2020,1/1/21,,0.04,2,USA,Older,B.1.234,,North America,20A,MW708451,,Utah,202053,Homo sapiens,Queen et al F,,,,
USA/MO-CDC-2-3714256/2020,11/25/20,,0.05,1,USA,Older,B.1.234,,North America,20A,MW495946,,Missouri,202048,Homo sapiens,Queen et al G,,,,
USA/GU-CDC-2-3847147/2020,12/17/20,,0.05,3,USA,Older,B.1.234,,North America,20A,MW766877,,Guam,202051,Homo sapiens,Queen et al H,,,,
USA/CA-CZB-7139/2020,9/2/20,,0.04,1,USA,Older,B.1,,North America,20A,MW276297,,California,202036,Homo sapiens,Bhatt et al B,,Chan Zuckerberg Biohub,Orange County Public Health Lab,
IND/KA-NIMH-SEQ-27/2020,12/24/20,,0.08,1,India,Older,B.1.560,,Asia,20A,OM073829,,Karnataka,202052,Homo sapiens,Pattabiraman et al,,,,
USA/IL-UW-1190/2020,8/5/20,,0.04,1,USA,Older,B.1.578,,North America,20A,MT981474,,Illinois,202032,Homo sapiens,Moreno et al D,,,,
MYS/NCOV13680/2021,2/17/21,,0.08,2,Malaysia,Older,B.1,,Asia,20A,OM062504,,Malaysia,202107,Homo sapiens,Chan et al B,,,,
MYS/M_N13162/2020,10/6/20,,0.06,1,Malaysia,Older,B.1.524,,Asia,20A,OM062547,,Malaysia,202041,Homo sapiens,Chan et al C,,,,
MYS/M_N30526/2020,12/8/20,,0.06,1,Malaysia,Older,B.1.524,,Asia,20A,OK594596,,Malaysia,202050,Homo sapiens,Chan et al D,,,,
MYS/C588/2021,1/16/21,,0.06,2,Malaysia,Older,B.1.524,,Asia,20A,OK594583,,Malaysia,202102,Homo sapiens,Chan et al E,,,,
MYS/NCOV26915/2021,3/29/21,,0.06,2,Malaysia,Older,B.1.524,,Asia,20A,OM062520,,Malaysia,202113,Homo sapiens,Chan et al F,,,,
MYS/NCOV30592/2021,4/6/21,,0.06,2,Malaysia,Older,B.1.524,,Asia,20A,OM062527,,Malaysia,202114,Homo sapiens,Chan et al G,,,,
SouthAfrica/NHLS-UCT-GS-0756/2020,7/23/20,,0.04,1,South Africa,Older,B.1,,Africa,20A,OM725426,,South Africa,202030,Homo sapiens,Tegally et al J,,,,
SouthAfrica/NHLS-UCT-GS-1486/2020,8/12/20,,0.04,1,South Africa,Older,B.1,,Africa,20A,OM725619,,South Africa,202033,Homo sapiens,Tegally et al K,,,,
Mexico/BCN-SEARCH-103021/2020,6/20/20,,0.04,1,Mexico,Older,B.1,,North America,20A,OK549346,,Baja California,202025,Homo sapiens,Andersen et al D,,SEARCH Alliance San Diego,"SEARCH Alliance San Diego with Gisela Barrera Badillo, Jose Ernesto Ramirez Gonzalez, Maria Natividad Cruz Ortiz, Nervain Benjamin Contreras Gonzalez, Tatiana Ernestina Nunez Garcia, Dayanira Sarith Arellano Suarez, Irma Lopez Martinez, Rita Flores Leon, Beatriz Olivares Flores with the help of Instituto de Diagnostico y Referencia Epidemiologicos (InDRE)",
USA/VSP0359/2020,9/17/20,,0.05,1,USA,Older,B.1.240,,North America,20A,OK245584,,Pennsylvania,202038,Homo sapiens,Marques et al A,,,,
USA/VSP0256/2020,7/18/20,,0.04,1,USA,Older,B.1.240,,North America,20A,OK245574,,Pennsylvania,202029,Homo sapiens,Marques et al B,,,,
USA/JFHJ/2020,11/29/20,,0.08,1,USA,Older,B.1.240,,North America,20A,MW925677,,Alabama,202048,Homo sapiens,Grimwood et al A,,,,
DJI/NAMRU3_C28/2020,12/12/20,,0.03,2,Djibouti,Older,B.1.240,,Africa,20A,MZ970743,,Djibouti,202050,Homo sapiens,Arnold et al A,,,,
DJI/NAMRU3_C25/2020,12/25/20,,0.03,2,Djibouti,Older,B.1.240,,Africa,20A,MZ970742,,Djibouti,202052,Homo sapiens,Arnold et al B,,,,
DJI/NAMRU3_E19/2020,12/20/20,,0.03,2,Djibouti,Older,B.1.240,,Africa,20A,MZ970751,,Djibouti,202051,Homo sapiens,Arnold et al C,,,,
USA/SRL_254602760/2020,8/21/20,,0.04,1,USA,Older,B.1.240,,North America,20A,MZ147823,,Indiana,202034,Homo sapiens,Moller et al,,,,
USA/LA-CDC-2-3693761/2020,11/5/20,,0.04,1,USA,Older,B.1.240,,North America,20A,MW406524,,Louisiana,202045,Homo sapiens,Queen et al I,,,,
USA/AK-PHL2587/2020,8/2/20,,0.04,1,USA,Older,B.1.240,,North America,20A,MZ246451,,Alaska,202031,Homo sapiens,DeRonde et al D,,,,
USA/NC-SLPH-0037/2020,9/19/20,,0.04,1,USA,Older,B.1.240,,North America,20A,MW646429,,North Carolina,202038,Homo sapiens,Chase et al A,,,,
USA/KS-QDX-3372/2020,10/1/20,,0.04,1,USA,Older,B.1.240,,North America,20A,MW522417,,Kansas,202040,Homo sapiens,Rosenthal et al M,,,,
USA/DC-DFS-PHL-0078/2020,6/17/20,,0.01,1,USA,Older,B.1.110.3,,North America,20A,MZ487675,,Washington DC,202025,Homo sapiens,Nguyen et al B,,,,
USA/SC_2975_T28/2020,9/21/20,,0.01,1,USA,Older,B.1.110.3,,North America,20A,MW480001,,South Carolina,202039,Homo sapiens,Arnold et al D,,,,
CHL/Santiago-PUC_MVL_0112/2020,4/3/20,,0.01,1,Chile,Older,B.1.110,,South America,20A,MW365482,,Chile,202014,Homo sapiens,Direct Submission et al AH,,,,
